text,label
Complaining of spineh urts,Back Pain
Dealing with zits,Acne
Can you help wit hstiff joints?,Joint Pain
Please tell me what to do about allergic reaction,Allergies
Chronic chest hurts,Chest Pain
It feels like itchy bumps,Skin Rash
Do you think scratchy throat is serious?,Sore Throat
I have been dealing wiht testing for a week,Non-Medical
I have been dealing with stomach upset for a week,Nausea
it feels like sensitive teeth,Toothache
Not sure if it is feeling efficient or something else,Anxiety
Suffering from constipation,Constipation
I think I have stiff back,Back Pain
Dealing with high temp,Fever
Recurring skin burn every morning,Burn
Chronic pain in ear,Earache
Complaining of dizzy,Dizziness
My exhasuted is getting unbearable,Fatigue
earache,Earache
"HELP, I HAVE GUM PAIN",Toothache
Complaining of worn out,Fatigue
I can't shake this panicking,Anxiety
is sleepy all the time something to worry about?,Fatigue
Severe ear hurts,Earache
Sufferign from queasy,Nausea
"Help, I havet ickle in throat",Cough
I have throbbing in myh ead,Headache
Myp roblem is stiff back,Back Pain
I have bee ndealing with ringing in ears for a week,Earache
I am experiencing tummy hurts,Abdominal Pain
painful arthritis pain on my left side,Joint Pain
sudden throat i sraw,Sore Throat
Can you help with runny nose?,Allergies
My worried sick is getting unbearable,Anxiety
it feels like ear hurts,Earache
I have been dealing with itchy bumps for a week,Skin Rash
I think I have sensitive teeth,Toothache
I THINK I HAVE PAIN IN MY SKULL,Headache
Please tell me what to do about worn out,Fatigue
can you help with temperature is high?,Fever
not sure if it is pimples or something else,Acne
My problem is pressure in cehst,Chest Pain
Suffering from sick to my stomach fro 3 days,Nausea
I think I have lethargic,Fatigue
I can't shake this frequent bathroom trips,Diarrhea
It feels like upset stomach,Diarrhea
Do you think constipated si serious?,Constipation
Feeling of coughing throughout the day,Cough
Complaining of throat is raw,Sore Throat
Recurring throat hurts every morning,Sore Throat
Suffering from bad cough,Cough
Is panic attack something to worry about?,Anxiety
Constant cut my finger keeps me awake,Cut
It started as a allergic reaction but now it's worse,Allergies
Can you help with joint pain?,Joint Pain
I thinkI  have cut my finger,Cut
Severe pai nin chest,Chest Pain
my throat hurts is getting unbearable,Sore Throat
Is hay fever something to woryr about?,Allergies
"Help, I have feeling sad",Depression
Suffering fro mwound,Cut
Please tell me what to do about touched something hot,Burn
Lately I have worried sick,Anxiety
i think i have cool,Non-Medical
Suffering from spots on face,Acne
Not sure if it is feeling ewak or something else,Fatigue
Please tell me what to do about tight chest,Chest Pain
I think I have pain in ear,Earache
sudden pimples,Acne
I have been dealing with hay fever for a week,Allergies
I have back hurts,Back Pain
Feeling of runny tummy throughout the day,Diarrhea
I have good morning,Non-Medical
Painful can't poop on myl eft side,Constipation
"Doctor, I have feeling down",Depression
I have been dealing with puonding head for a week,Headache
Suffering from fever,Fever
"Help, I have earache",Earache
it started as a hacking cough but now it's worse,Cough
it started as a burning pu but now it's worse,Fever
Do you think what is your name is serious?,Non-Medical
I ame xperiencing feverish,Fever
sudden hard stool,Constipation
Feeling of sharp pain in chest throughout the day,Chest Pain
I wokeu p with sunburn,Burn
I've been having itchy bumps,Skin Rash
knees hurt,Joint Pain
lately i have toothache,Toothache
Suffering from allergic reaction,Allergies
Do you think pian in my back is serious?,Back Pain
Feeling of allergies thruoghout the day,Allergies
I am experiencing sleepy all the time,Fatigue
"Doctor, I have gum pain",Toothache
I have hards tool,Constipation
Complaining of ahrd stool,Constipation
I can' tshake this hives,Skin Rash
I can't shake this elbows ache,Joint Pain
'Ive been having depressed,Depression
i have been dealing with zits for a week,Acne
feeling of no energy throughout the day,Fatigue
mild hello,Non-Medical
Severe spine hurts,Back Pain
It started as a pain in my back but now it's worse,Back Pain
Lately I have sick to my stomach,Nausea
Mild pain in my gut,Abdominal Pain
Complainign of coughing,Cough
Dealing with stomach upset,Nausea
Please tell me what to do about acne,Acne
Mild stomach ache,Abdominal Pain
It feels like lethargic,Fatigue
My head hurts is getting unbearable,Headache
Do you think panic attack is serious?,Anxiety
Mild bleeding,Cut
Constant no motivatoin keeps me awake,Depression
Painful fever on my left side,Fever
I am experiencing pressure in chest,Chest Pain
CONSTANT FEELING SAD KEEPS ME AWAKE,Depression
PAINFUL FATIGUE ON MY LETF SIDE,Fatigue
Lately I haveb leeding,Cut
Is sunburn something to worry about?,Burn
I have soret hroat,Sore Throat
I am experiencing nseezing,Allergies
Feeling of tossing an dturning throughout the day,Insomnia
Severe pain in my skull,Headache
Chronic acne,Acne
I'ev been having spots on face,Acne
Reucrring dry cough every morning,Cough
Complaining of back hurts,Back Pain
I have fatigue,Fatigue
mild allergies,Allergies
Not sure if it is elbows ache or somtehing else,Joint Pain
Complainin gof room is spinning,Dizziness
Chronic cramps,Abdominal Pain
Suffering fro mitchy eyes,Eye Pain
I havef ever,Fever
Is fatigue something to worry about?,Fatigue
Do you think hard stool is seriuos?,Constipation
Can you help with itchy bumps?,Skin Rash
Painful feeling efficient on my left side,Anxiety
Feeling of scratchy throat throughout the day,Sore Throat
Dealing with panicking,Anxiety
"Doctor ,I have staying awake",Insomnia
I woke up with burning throat,Sore Throat
Lately I have heart hurts,Chest Pain
Is pounding head something to worry about?,Headache
My problemi s itchy eyes,Eye Pain
It feels like pain in my joints,Joint Pain
Sduden want to vomit,Nausea
chronic minor burn,Burn
complaining of elbowsa che,Joint Pain
Is cramps something to worry about?,Abdominal Pain
Constant coughing up phlegm keeps me awake,Cough
Chronic how arey ou,Non-Medical
RECURRING ALLERGIC REACTION EVERY MORNING,Allergies
Sufferin gfrom burning up,Fever
It started as a sensitive teeth but now it's worse,Toothache
Painful pain in tooth on my left side,Toothache
I havet hroat is raw,Sore Throat
Do you think tossing and turning is serious?,Insomnia
I have coughing up phlegm,Cough
Not sure if it is red eyes or something else,Eye Pain
Suffering from earache for 3 days,Earache
it started a sa pimples but now it's worse,Acne
"help, i have frequent bathroom trips",Diarrhea
usdden earache,Earache
Recurring feel like throwing up every morning,Nausea
Dealing with blurry vision,Eye Pain
not sure if it is stomach upset or something else,Nausea
I can't shake this pulled a muscle in my back,Back Pain
Severe chest hurts,Chest Pain
FEELING OF BELLY PAIN THRUOGHOUT THE DAY,Abdominal Pain
Can you help with scratchy throat?,Sore Throat
It started as a nausea but now it's worse,Nausea
Constant how are you keeps me awake,Non-Medical
i think i have cut my finger,Cut
Please tell me what to do baout breathless,Shortness of Breath
Please tell me what to doa bout zits,Acne
I can't shake this what is the weather,Non-Medical
"Help, I have crying a lot",Depression
I woke up with worreid sick,Anxiety
Please tell me what to do about diarrhea,Diarrhea
Paniful skin breakout on my left side,Skin Rash
Is want to vomit smoething to worry about?,Nausea
pressrue in chest,Chest Pain
Can you help with blurry visoin?,Eye Pain
Dealing with can't opop,Constipation
I woke up iwth upset stomach,Diarrhea
Suffering from worried sick,Anxiety
Dealing with allergies,Allergies
It feels like unsteady,Dizziness
"Dotcor, I have scratch",Cut
Sevree staying awake,Insomnia
Mild elbows ache,Joint Pain
I think I have blocked ear,Earache
Suffering from gum pain,Toothache
SUDDEN THANK YOU,Non-Medical
Mild pressure in cehst,Chest Pain
Is skin burn something to worry about?,Burn
PLEASE TELL ME WHAT TO DO ABOUT FEELING DOWN,Depression
My problem is dizzy,Dizziness
It feels like chest feels tight,Shortness of Breath
chronic insomnia,Insomnia
Recurring pain in my back evrey morning,Back Pain
Is cut myself something to worry about?,Cut
Suffering from crying a lot,Depression
Recurring queasy ever ymorning,Nausea
Sufferingf rom crying a lot,Depression
Mild alleriges,Allergies
complaining ofr ash,Skin Rash
I have been deailng with sharp pain in chest for a week,Chest Pain
Suffering from tell me a joke for 3 days,Non-Medical
Suffering from pressure in chest for 3 days,Chest Pain
I've been having minor burn,Burn
sudden burned myslef,Burn
I have bcakache,Back Pain
Dealing with tossing and turning,Insomnia
I have been dealing with bleedingf or a week,Cut
I woke up with pain in my gut,Abdominal Pain
recurring knees hurt every morning,Joint Pain
"doctor, i have exhausted",Fatigue
Please tell me what to do about cool,Non-Medical
My problem is aching bones,Joint Pain
M yproblem is throat hurts,Sore Throat
diarrhea,Diarrhea
Feeling of chest feels tight throughout the day,Shortness of Breath
Do you think itchy eyes is serious?,Eye Pain
Severe touched something hot,Burn
"Help, I have staying awake",Insomnia
I can't shake this criyng a lot,Depression
It started as a depressed but now it's worse,Depression
Can you help with feeling hot?,Fever
